job_id,job_title,company,location,job_description,job_skills,posted_date,source
J001,Junior Data Analyst,Northwind Retail,Remote US,"Analyze sales and customer data, build dashboards, write SQL queries, and communicate findings to business teams.","SQL; Excel; Tableau; data visualization; communication",2026-05-01,classroom_sample
J002,AI Engineer Intern,City Health Lab,New York NY,"Prototype LLM workflows, evaluate prompt outputs, clean text datasets, and document model limitations for healthcare operations.","Python; pandas; LLMs; prompt engineering; evaluation",2026-05-02,classroom_sample
J003,Machine Learning Engineer,GreenGrid Energy,Austin TX,"Train baseline models, compare validation metrics, package reproducible experiments, and collaborate with data engineers.","Python; scikit-learn; Git; model evaluation; pipelines",2026-05-03,classroom_sample
J004,Business Intelligence Analyst,Metro Finance,Chicago IL,"Create recurring reports, maintain SQL data models, build Power BI dashboards, and explain trends to stakeholders.","SQL; Power BI; Excel; data modeling; stakeholder communication",2026-05-04,classroom_sample
J005,Data Scientist,LearnLoop Education,Remote US,"Develop predictive models, analyze learner behavior, design experiments, and translate model results into product recommendations.","Python; statistics; A/B testing; scikit-learn; product analytics",2026-05-05,classroom_sample
J006,Analytics Engineer,CloudCart Commerce,Seattle WA,"Build reliable data transformations, test data quality, manage dbt models, and support reporting for marketing and product teams.","SQL; dbt; data quality; Git; warehouse modeling",2026-05-06,classroom_sample
J007,Prompt Engineer,SupportFlow AI,San Francisco CA,"Design structured prompts, evaluate chatbot responses, create test cases, and improve support automation workflows.","prompt engineering; JSON; evaluation; customer support; LLMs",2026-05-07,classroom_sample
J008,Data Engineer Associate,Harbor Logistics,Boston MA,"Load CSV and API data, schedule pipeline jobs, monitor failures, and prepare clean tables for analysts.","Python; SQL; ETL; Airflow; data pipelines",2026-05-08,classroom_sample
J009,Product Data Analyst,FitTrack Apps,Remote US,"Analyze product usage, define metrics, build dashboards, and recommend experiments to improve retention.","SQL; Python; dashboards; product metrics; experimentation",2026-05-09,classroom_sample
J010,ML Operations Analyst,SecureBank,Charlotte NC,"Track model performance, review monitoring dashboards, investigate data drift, and document operational risks.","model monitoring; Python; dashboards; data drift; documentation",2026-05-10,classroom_sample
